ID,supplyShipmentId,lineNumber,purchaseOrderLineId,purchaseOrderId,purchaseOrderLineNumber,ProductId,quantityShipped,unitOfMeasure
12bf3518-1985-46a4-9385-f2317f3662c6-20,12bf3518-1985-46a4-9385-f2317f3662c6,20,e41be754-31f5-404a-a6ea-71791c6e1751-30,e41be754-31f5-404a-a6ea-71791c6e1751,30,PART001,220,Each
3148af93-bd71-4b14-b58c-1278c4ff954b-10,3148af93-bd71-4b14-b58c-1278c4ff954b,10,5f4993df-d387-472c-a773-4211a96e0a23-10,5f4993df-d387-472c-a773-4211a96e0a23,10,PART005,80,Each
3148af93-bd71-4b14-b58c-1278c4ff954b-20,3148af93-bd71-4b14-b58c-1278c4ff954b,20,5f4993df-d387-472c-a773-4211a96e0a23-20,5f4993df-d387-472c-a773-4211a96e0a23,20,PART003-3,210,Each
1593ce03-8558-4ffb-ae4c-cb2b55353d59-10,1593ce03-8558-4ffb-ae4c-cb2b55353d59,10,e9ab42f1-a93c-4b2b-aaa3-ffe8ddbafcd8-10,e9ab42f1-a93c-4b2b-aaa3-ffe8ddbafcd8,10,PART003-2,60,Each
15e3bc60-a8a5-4541-9253-99adb69b103b-10,15e3bc60-a8a5-4541-9253-99adb69b103b,10,32bd4781-4e47-43cf-a1d9-ec91de19977f-10,32bd4781-4e47-43cf-a1d9-ec91de19977f,10,PART001,62,Each
9de522dc-d897-466e-963c-08331dc7a234-10,9de522dc-d897-466e-963c-08331dc7a234,10,f36b595e-34b3-496f-aea8-507be2eeaf17-10,f36b595e-34b3-496f-aea8-507be2eeaf17,10,PART005,180,Each
eddcc8e6-61ba-4007-beb2-8055c810b9c9-10,eddcc8e6-61ba-4007-beb2-8055c810b9c9,10,fa49671d-c576-4a02-86a9-f959a921e3b5-10,fa49671d-c576-4a02-86a9-f959a921e3b5,10,PART003-3,90,Each
594ad7cb-9a2e-41af-99be-9d912534884a-10,594ad7cb-9a2e-41af-99be-9d912534884a,10,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792-20,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792,20,PART003-1,70,Each
594ad7cb-9a2e-41af-99be-9d912534884a-20,594ad7cb-9a2e-41af-99be-9d912534884a,20,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792-30,eb2d1f3a-06da-4ff3-b31e-ec0eb8488792,30,PART004,430,Each
83df7323-98db-4dbf-8cdd-069fa35fff2c-10,83df7323-98db-4dbf-8cdd-069fa35fff2c,10,9886d608-03b6-452d-b2a4-0f0d8d3366ea-20,9886d608-03b6-452d-b2a4-0f0d8d3366ea,20,PART003-3,400,Each
cbecf6f9-2091-4bf3-bfc2-813387e71f33-10,cbecf6f9-2091-4bf3-bfc2-813387e71f33,10,666ab65e-c98e-4f04-8654-d1b1de6aff41-10,666ab65e-c98e-4f04-8654-d1b1de6aff41,10,PART002,470,Each
cbecf6f9-2091-4bf3-bfc2-813387e71f33-20,cbecf6f9-2091-4bf3-bfc2-813387e71f33,20,666ab65e-c98e-4f04-8654-d1b1de6aff41-30,666ab65e-c98e-4f04-8654-d1b1de6aff41,30,PART005,140,Each
bd68aa64-3d8c-4da4-a711-3f95cd5890ca-10,bd68aa64-3d8c-4da4-a711-3f95cd5890ca,10,9e727e58-2622-4cef-80b2-d5ecc2d31e81-10,9e727e58-2622-4cef-80b2-d5ecc2d31e81,10,PART003-1,110,Each
073ac0ee-cb84-47ea-b5b4-a6edeb86694d-10,073ac0ee-cb84-47ea-b5b4-a6edeb86694d,10,4900077c-d3e4-4ff3-ad2a-c41e70fc6598-20,4900077c-d3e4-4ff3-ad2a-c41e70fc6598,20,PART004,170,Each
073ac0ee-cb84-47ea-b5b4-a6edeb86694d-20,073ac0ee-cb84-47ea-b5b4-a6edeb86694d,20,4900077c-d3e4-4ff3-ad2a-c41e70fc6598-30,4900077c-d3e4-4ff3-ad2a-c41e70fc6598,30,PART003-1,140,Each
1f23b231-2936-415c-9a67-c4b72445813c-10,1f23b231-2936-415c-9a67-c4b72445813c,10,d21712cd-a53a-487e-bfd2-505ec5a36cf5-10,d21712cd-a53a-487e-bfd2-505ec5a36cf5,10,PART001,282,Each
d9966eed-03ee-44bb-93c7-1e8c0e303f8a-10,d9966eed-03ee-44bb-93c7-1e8c0e303f8a,10,8804db32-0184-4107-a0c1-2a820b6c4b43-10,8804db32-0184-4107-a0c1-2a820b6c4b43,10,PART006,160,Each
d9966eed-03ee-44bb-93c7-1e8c0e303f8a-20,d9966eed-03ee-44bb-93c7-1e8c0e303f8a,20,8804db32-0184-4107-a0c1-2a820b6c4b43-20,8804db32-0184-4107-a0c1-2a820b6c4b43,20,PART002,260,Each
b8971cf2-462b-4bbd-b4dc-41b67ac24d5c-10,b8971cf2-462b-4bbd-b4dc-41b67ac24d5c,10,0c59b11e-4e7f-4652-8aef-beafe2bebd8b-10,0c59b11e-4e7f-4652-8aef-beafe2bebd8b,10,PART003,50,Each
24a1c4ab-442b-4b04-b698-29c2e00b40c5-10,24a1c4ab-442b-4b04-b698-29c2e00b40c5,10,948437c1-8259-49ad-b8cf-a543b2e2adca-10,948437c1-8259-49ad-b8cf-a543b2e2adca,10,PART003-1,350,Each
ce27ca1a-cc43-4774-af52-22b8d44b863c-10,ce27ca1a-cc43-4774-af52-22b8d44b863c,10,2dbd0aa4-18e6-45b9-b752-bf0529689763-10,2dbd0aa4-18e6-45b9-b752-bf0529689763,10,PART003-2,60,Each
ce27ca1a-cc43-4774-af52-22b8d44b863c-20,ce27ca1a-cc43-4774-af52-22b8d44b863c,20,2dbd0aa4-18e6-45b9-b752-bf0529689763-20,2dbd0aa4-18e6-45b9-b752-bf0529689763,20,PART003,50,Each
ce27ca1a-cc43-4774-af52-22b8d44b863c-30,ce27ca1a-cc43-4774-af52-22b8d44b863c,30,2dbd0aa4-18e6-45b9-b752-bf0529689763-30,2dbd0aa4-18e6-45b9-b752-bf0529689763,30,PART001,400,Each
bf644a69-40b2-42de-91de-8bdab90dbcf5-10,bf644a69-40b2-42de-91de-8bdab90dbcf5,10,0fe980e6-d2c2-4890-9292-c27cf2d9452b-10,0fe980e6-d2c2-4890-9292-c27cf2d9452b,10,PART002,260,Each
f6a6acd8-f9ac-4102-bbe8-15bee57e5309-10,f6a6acd8-f9ac-4102-bbe8-15bee57e5309,10,1381e4a3-9a6e-48a8-9c57-0a253017cd94-10,1381e4a3-9a6e-48a8-9c57-0a253017cd94,10,PART001,310,Each
f6a6acd8-f9ac-4102-bbe8-15bee57e5309-20,f6a6acd8-f9ac-4102-bbe8-15bee57e5309,20,1381e4a3-9a6e-48a8-9c57-0a253017cd94-20,1381e4a3-9a6e-48a8-9c57-0a253017cd94,20,PART005,460,Each
f6a6acd8-f9ac-4102-bbe8-15bee57e5309-30,f6a6acd8-f9ac-4102-bbe8-15bee57e5309,30,1381e4a3-9a6e-48a8-9c57-0a253017cd94-30,1381e4a3-9a6e-48a8-9c57-0a253017cd94,30,PART003-1,420,Each
bbf1b40f-5631-48d4-882e-781250018bd0-10,bbf1b40f-5631-48d4-882e-781250018bd0,10,1fde701b-bae9-4c9f-a5e8-11f8b1f71d43-10,1fde701b-bae9-4c9f-a5e8-11f8b1f71d43,10,PART006,120,Each
bbf1b40f-5631-48d4-882e-781250018bd0-20,bbf1b40f-5631-48d4-882e-781250018bd0,20,1fde701b-bae9-4c9f-a5e8-11f8b1f71d43-20,1fde701b-bae9-4c9f-a5e8-11f8b1f71d43,20,PART004,300,Each
adfd3a78-1abc-4d8d-bf01-7ab9b3e14773-10,adfd3a78-1abc-4d8d-bf01-7ab9b3e14773,10,6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91-10,6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91,10,PART004,270,Each
adfd3a78-1abc-4d8d-bf01-7ab9b3e14773-20,adfd3a78-1abc-4d8d-bf01-7ab9b3e14773,20,6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91-20,6bfbaa70-d5ba-4a9a-be1c-9eb75f119e91,20,PART005,200,Each
abc52011-e9f9-4b52-bc15-318528b66b98-10,abc52011-e9f9-4b52-bc15-318528b66b98,10,f21da985-cd03-432a-b570-8bfa1f2120d1-10,f21da985-cd03-432a-b570-8bfa1f2120d1,10,PART003,150,Each
abc52011-e9f9-4b52-bc15-318528b66b98-20,abc52011-e9f9-4b52-bc15-318528b66b98,20,f21da985-cd03-432a-b570-8bfa1f2120d1-20,f21da985-cd03-432a-b570-8bfa1f2120d1,20,PART001,390,Each
abc52011-e9f9-4b52-bc15-318528b66b98-30,abc52011-e9f9-4b52-bc15-318528b66b98,30,f21da985-cd03-432a-b570-8bfa1f2120d1-30,f21da985-cd03-432a-b570-8bfa1f2120d1,30,PART005,220,Each
052c8e77-0bcb-4f76-b5d3-f05aee77c9d8-10,052c8e77-0bcb-4f76-b5d3-f05aee77c9d8,10,20a03f25-1670-437d-9685-8fe4d3b39976-10,20a03f25-1670-437d-9685-8fe4d3b39976,10,PART003-1,420,Each
052c8e77-0bcb-4f76-b5d3-f05aee77c9d8-20,052c8e77-0bcb-4f76-b5d3-f05aee77c9d8,20,20a03f25-1670-437d-9685-8fe4d3b39976-20,20a03f25-1670-437d-9685-8fe4d3b39976,20,PART005,360,Each
052c8e77-0bcb-4f76-b5d3-f05aee77c9d8-30,052c8e77-0bcb-4f76-b5d3-f05aee77c9d8,30,20a03f25-1670-437d-9685-8fe4d3b39976-30,20a03f25-1670-437d-9685-8fe4d3b39976,30,PART002,400,Each
b3214fde-e0c1-4ca4-8936-586da69d58db-10,b3214fde-e0c1-4ca4-8936-586da69d58db,10,5b57df2e-6e66-465a-829c-ece45932fa8d-10,5b57df2e-6e66-465a-829c-ece45932fa8d,10,PART003,210,Each
b3214fde-e0c1-4ca4-8936-586da69d58db-20,b3214fde-e0c1-4ca4-8936-586da69d58db,20,5b57df2e-6e66-465a-829c-ece45932fa8d-20,5b57df2e-6e66-465a-829c-ece45932fa8d,20,PART002,500,Each
b3214fde-e0c1-4ca4-8936-586da69d58db-30,b3214fde-e0c1-4ca4-8936-586da69d58db,30,5b57df2e-6e66-465a-829c-ece45932fa8d-30,5b57df2e-6e66-465a-829c-ece45932fa8d,30,PART003-2,200,Each
210910ca-21eb-47da-a3fd-c9bdb38263b8-10,210910ca-21eb-47da-a3fd-c9bdb38263b8,10,1ad1302a-1a3c-49f7-b9c7-03f75042e87a-10,1ad1302a-1a3c-49f7-b9c7-03f75042e87a,10,PART003-1,140,Each
e1fcdcb8-08db-4738-9cf7-f32f593ae4cf-10,e1fcdcb8-08db-4738-9cf7-f32f593ae4cf,10,760752c8-3be3-49e3-824e-2a95916856ff-10,760752c8-3be3-49e3-824e-2a95916856ff,10,PART001,200,Each
a2e95871-7a33-4d17-9617-1561766b3024-10,a2e95871-7a33-4d17-9617-1561766b3024,10,d4e669c0-c3e3-4a0a-9425-68eb853027e0-10,d4e669c0-c3e3-4a0a-9425-68eb853027e0,10,PART003,450,Each
a2e95871-7a33-4d17-9617-1561766b3024-20,a2e95871-7a33-4d17-9617-1561766b3024,20,d4e669c0-c3e3-4a0a-9425-68eb853027e0-20,d4e669c0-c3e3-4a0a-9425-68eb853027e0,20,PART003-3,210,Each
172bea15-7174-479e-a3f9-1c0ca4e9669f-10,172bea15-7174-479e-a3f9-1c0ca4e9669f,10,fe65b391-8f3e-4d74-b3f0-5bcadfe9eb7b-10,fe65b391-8f3e-4d74-b3f0-5bcadfe9eb7b,10,PART006,340,Each
b7a121d8-37db-4133-b930-f755930b4417-10,b7a121d8-37db-4133-b930-f755930b4417,10,024593c7-1d20-43ae-a216-f479a8f277df-10,024593c7-1d20-43ae-a216-f479a8f277df,10,PART003-2,490,Each
96a590f3-a274-493e-a57e-96e5ad8e8491-10,96a590f3-a274-493e-a57e-96e5ad8e8491,10,be6237bc-9902-40b3-abb6-43f9cf5264db-10,be6237bc-9902-40b3-abb6-43f9cf5264db,10,PART003,50,Each
96a590f3-a274-493e-a57e-96e5ad8e8491-20,96a590f3-a274-493e-a57e-96e5ad8e8491,20,be6237bc-9902-40b3-abb6-43f9cf5264db-20,be6237bc-9902-40b3-abb6-43f9cf5264db,20,PART001,390,Each
83d1c3b5-966f-4cf3-adb8-2c42f4864e3f-10,83d1c3b5-966f-4cf3-adb8-2c42f4864e3f,10,d242b67c-bb29-42ed-ac33-1583c19b168b-10,d242b67c-bb29-42ed-ac33-1583c19b168b,10,PART002,80,Each
0cf59a57-0023-43c4-8c9d-343790d4595f-10,0cf59a57-0023-43c4-8c9d-343790d4595f,10,933f2219-7fb7-4f63-bf19-f620e7f9a475-10,933f2219-7fb7-4f63-bf19-f620e7f9a475,10,PART001,50,Each
0cf59a57-0023-43c4-8c9d-343790d4595f-20,0cf59a57-0023-43c4-8c9d-343790d4595f,20,933f2219-7fb7-4f63-bf19-f620e7f9a475-20,933f2219-7fb7-4f63-bf19-f620e7f9a475,20,PART003-1,410,Each
63cf1331-07be-46c4-8b2c-460702632e15-10,63cf1331-07be-46c4-8b2c-460702632e15,10,f8c0f6ca-c675-48ea-9e2d-973382835ccc-10,f8c0f6ca-c675-48ea-9e2d-973382835ccc,10,PART001,120,Each
635bc344-affc-4aab-9a57-8694cfa013fc-10,635bc344-affc-4aab-9a57-8694cfa013fc,10,ffbec458-864e-4ce0-a630-7564c42403ef-10,ffbec458-864e-4ce0-a630-7564c42403ef,10,PART003-1,470,Each
b7f05fa4-16bb-4b7f-9967-da059c2e5fd9-10,b7f05fa4-16bb-4b7f-9967-da059c2e5fd9,10,41efa7bb-7424-4d4e-b167-d8c07822cf7f-10,41efa7bb-7424-4d4e-b167-d8c07822cf7f,10,PART003-2,410,Each
f4557bb8-c151-4685-b21e-ce1ceaf89b2a-10,f4557bb8-c151-4685-b21e-ce1ceaf89b2a,10,db8fc463-7fd9-4fcd-8263-68364c7703a3-10,db8fc463-7fd9-4fcd-8263-68364c7703a3,10,PART004,320,Each
a78ce29f-a0fb-4c59-9bd0-338ffe3c88a4-10,a78ce29f-a0fb-4c59-9bd0-338ffe3c88a4,10,d17917ff-6b38-40ae-aad3-e5e872f1e1a1-10,d17917ff-6b38-40ae-aad3-e5e872f1e1a1,10,PART003-3,440,Each
a78ce29f-a0fb-4c59-9bd0-338ffe3c88a4-20,a78ce29f-a0fb-4c59-9bd0-338ffe3c88a4,20,d17917ff-6b38-40ae-aad3-e5e872f1e1a1-20,d17917ff-6b38-40ae-aad3-e5e872f1e1a1,20,PART003-1,400,Each
a78ce29f-a0fb-4c59-9bd0-338ffe3c88a4-30,a78ce29f-a0fb-4c59-9bd0-338ffe3c88a4,30,d17917ff-6b38-40ae-aad3-e5e872f1e1a1-30,d17917ff-6b38-40ae-aad3-e5e872f1e1a1,30,PART003-2,130,Each
02814bcf-70af-472f-bbff-7147a38f7cd6-10,02814bcf-70af-472f-bbff-7147a38f7cd6,10,c17d03ee-cb75-4653-9255-eb9125e9af7c-10,c17d03ee-cb75-4653-9255-eb9125e9af7c,10,PART003-1,470,Each
02814bcf-70af-472f-bbff-7147a38f7cd6-20,02814bcf-70af-472f-bbff-7147a38f7cd6,20,c17d03ee-cb75-4653-9255-eb9125e9af7c-20,c17d03ee-cb75-4653-9255-eb9125e9af7c,20,PART006,300,Each
02814bcf-70af-472f-bbff-7147a38f7cd6-30,02814bcf-70af-472f-bbff-7147a38f7cd6,30,c17d03ee-cb75-4653-9255-eb9125e9af7c-30,c17d03ee-cb75-4653-9255-eb9125e9af7c,30,PART002,330,Each
81987313-e800-4bd7-b4a2-f4595cf15020-10,81987313-e800-4bd7-b4a2-f4595cf15020,10,e8b43710-d5fb-4566-bcdf-1eda792623ca-10,e8b43710-d5fb-4566-bcdf-1eda792623ca,10,PART003-1,350,Each
9e6b4de8-1b33-4267-a43f-5a672e9511ba-10,9e6b4de8-1b33-4267-a43f-5a672e9511ba,10,c2597ac3-180a-4623-94de-613ffee6d949-10,c2597ac3-180a-4623-94de-613ffee6d949,10,PART001,160,Each
0257188b-d11a-417a-ab5a-a04913bacdf8-10,0257188b-d11a-417a-ab5a-a04913bacdf8,10,c2597ac3-180a-4623-94de-613ffee6d949-10,c2597ac3-180a-4623-94de-613ffee6d949,10,PART001,260,Each
2cc6abfa-4eee-4a34-a20a-b96f211670eb-10,2cc6abfa-4eee-4a34-a20a-b96f211670eb,10,5f5efc5d-673f-470c-9734-5030831ebeb6-10,5f5efc5d-673f-470c-9734-5030831ebeb6,10,PART003-2,440,Each
359a0be1-e367-4894-a0e3-1603bf4f55ed-10,359a0be1-e367-4894-a0e3-1603bf4f55ed,10,6581e336-a875-4fec-9f1f-74ed6ced2c7d-10,6581e336-a875-4fec-9f1f-74ed6ced2c7d,10,PART004,400,Each
31318353-1f53-40c4-8231-44c62131efd4-10,31318353-1f53-40c4-8231-44c62131efd4,10,9a73a2d0-262b-4028-9694-eb06c7ba9492-20,9a73a2d0-262b-4028-9694-eb06c7ba9492,20,PART004,450,Each
742ef663-ed9a-4053-ab60-856347f49ab4-10,742ef663-ed9a-4053-ab60-856347f49ab4,10,9a73a2d0-262b-4028-9694-eb06c7ba9492-10,9a73a2d0-262b-4028-9694-eb06c7ba9492,10,PART001,140,Each
8af02510-953e-4a7e-8a43-31c1427978eb-10,8af02510-953e-4a7e-8a43-31c1427978eb,10,11018313-a907-41bd-8f41-93599d32b93a-10,11018313-a907-41bd-8f41-93599d32b93a,10,PART003-3,500,Each
0c8dba5a-dd66-4f71-a2a1-8e4169fbcf20-10,0c8dba5a-dd66-4f71-a2a1-8e4169fbcf20,10,f5da8a63-ee6d-480e-9541-a993802d34a1-10,f5da8a63-ee6d-480e-9541-a993802d34a1,10,PART003-1,110,Each
0c8dba5a-dd66-4f71-a2a1-8e4169fbcf20-20,0c8dba5a-dd66-4f71-a2a1-8e4169fbcf20,20,f5da8a63-ee6d-480e-9541-a993802d34a1-20,f5da8a63-ee6d-480e-9541-a993802d34a1,20,PART001,390,Each
632c5abf-ae87-43e8-938c-cebc85bef433-10,632c5abf-ae87-43e8-938c-cebc85bef433,10,a3cb065c-13d1-459e-8536-ea4535f1c072-20,a3cb065c-13d1-459e-8536-ea4535f1c072,20,PART003-1,220,Each
36f8912b-c556-44c3-a4b4-8e039a05bab9-10,36f8912b-c556-44c3-a4b4-8e039a05bab9,10,a3cb065c-13d1-459e-8536-ea4535f1c072-10,a3cb065c-13d1-459e-8536-ea4535f1c072,10,PART002,120,Each
c5d661a3-a3f2-41a5-961e-2536a232f55b-10,c5d661a3-a3f2-41a5-961e-2536a232f55b,10,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34-10,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34,10,PART003-1,400,Each
c5d661a3-a3f2-41a5-961e-2536a232f55b-20,c5d661a3-a3f2-41a5-961e-2536a232f55b,20,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34-20,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34,20,PART004,340,Each
c5d661a3-a3f2-41a5-961e-2536a232f55b-30,c5d661a3-a3f2-41a5-961e-2536a232f55b,30,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34-30,bb2dbe01-5b86-4784-8edd-8b6d8abe9d34,30,PART003,330,Each
a1b9539b-d633-46b1-8d30-91f8e7e05e49-10,a1b9539b-d633-46b1-8d30-91f8e7e05e49,10,b35d2bea-b6a0-439b-be18-2dc352240527-10,b35d2bea-b6a0-439b-be18-2dc352240527,10,PART002,180,Each
5e13299e-4e64-4b5d-b04d-d3f1f1e5f808-10,5e13299e-4e64-4b5d-b04d-d3f1f1e5f808,10,d498671a-799e-4cb0-b6a2-a8f91ddbb2df-10,d498671a-799e-4cb0-b6a2-a8f91ddbb2df,10,PART002,220,Each
bdedde99-72c6-48b1-9e55-42c25981993e-10,bdedde99-72c6-48b1-9e55-42c25981993e,10,d498671a-799e-4cb0-b6a2-a8f91ddbb2df-10,d498671a-799e-4cb0-b6a2-a8f91ddbb2df,10,PART002,270,Each
15a9bff5-c770-4439-a72b-8f83384e5aa3-10,15a9bff5-c770-4439-a72b-8f83384e5aa3,10,e8ec0164-10dd-4789-a7f0-648691597f97-10,e8ec0164-10dd-4789-a7f0-648691597f97,10,PART004,380,Each
15a9bff5-c770-4439-a72b-8f83384e5aa3-20,15a9bff5-c770-4439-a72b-8f83384e5aa3,20,e8ec0164-10dd-4789-a7f0-648691597f97-20,e8ec0164-10dd-4789-a7f0-648691597f97,20,PART005,480,Each
15a9bff5-c770-4439-a72b-8f83384e5aa3-30,15a9bff5-c770-4439-a72b-8f83384e5aa3,30,e8ec0164-10dd-4789-a7f0-648691597f97-30,e8ec0164-10dd-4789-a7f0-648691597f97,30,PART003-1,380,Each
ada0cd14-cada-4b31-8091-a1accb58cf42-10,ada0cd14-cada-4b31-8091-a1accb58cf42,10,e0ac8da9-2b9d-448d-a348-616843a8a497-10,e0ac8da9-2b9d-448d-a348-616843a8a497,10,PART001,490,Each
d9616529-8e3e-42e1-9bb3-1e9955aad5c1-10,d9616529-8e3e-42e1-9bb3-1e9955aad5c1,10,24af096a-cb7f-4e46-9b58-b3446b88d9f5-20,24af096a-cb7f-4e46-9b58-b3446b88d9f5,20,PART001,180,Each
0504d2df-3538-4604-bbf2-60b15d961b7c-10,0504d2df-3538-4604-bbf2-60b15d961b7c,10,24af096a-cb7f-4e46-9b58-b3446b88d9f5-10,24af096a-cb7f-4e46-9b58-b3446b88d9f5,10,PART003-2,150,Each
de0fe354-4b04-4260-8e8a-8296f8adfe43-10,de0fe354-4b04-4260-8e8a-8296f8adfe43,10,ae03a6d2-44e3-469e-b066-40e0027c9d66-10,ae03a6d2-44e3-469e-b066-40e0027c9d66,10,PART003,90,Each
de0fe354-4b04-4260-8e8a-8296f8adfe43-20,de0fe354-4b04-4260-8e8a-8296f8adfe43,20,ae03a6d2-44e3-469e-b066-40e0027c9d66-20,ae03a6d2-44e3-469e-b066-40e0027c9d66,20,PART005,100,Each
a13c9f13-9f80-40a7-81bc-af17ef4218b6-10,a13c9f13-9f80-40a7-81bc-af17ef4218b6,10,2e3e1cc3-61e4-48be-8cb7-90f7c28ff799-10,2e3e1cc3-61e4-48be-8cb7-90f7c28ff799,10,PART003,140,Each
a13c9f13-9f80-40a7-81bc-af17ef4218b6-20,a13c9f13-9f80-40a7-81bc-af17ef4218b6,20,2e3e1cc3-61e4-48be-8cb7-90f7c28ff799-20,2e3e1cc3-61e4-48be-8cb7-90f7c28ff799,20,PART001,290,Each
7644ea4c-f93e-43d3-9e68-d5824cd11f85-10,7644ea4c-f93e-43d3-9e68-d5824cd11f85,10,7d175894-da56-4314-9950-9b9b3fb423f7-20,7d175894-da56-4314-9950-9b9b3fb423f7,20,PART001,460,Each
d619bbc5-5d5f-4e60-b1f0-717eec97ea18-10,d619bbc5-5d5f-4e60-b1f0-717eec97ea18,10,7d175894-da56-4314-9950-9b9b3fb423f7-10,7d175894-da56-4314-9950-9b9b3fb423f7,10,PART006,260,Each
d619bbc5-5d5f-4e60-b1f0-717eec97ea18-20,d619bbc5-5d5f-4e60-b1f0-717eec97ea18,20,7d175894-da56-4314-9950-9b9b3fb423f7-30,7d175894-da56-4314-9950-9b9b3fb423f7,30,PART003-2,270,Each
d302d88c-e67e-4b88-b8ad-802805445bde-10,d302d88c-e67e-4b88-b8ad-802805445bde,10,b09296b0-8544-48c5-8515-730504840db5-10,b09296b0-8544-48c5-8515-730504840db5,10,PART005,140,Each
d302d88c-e67e-4b88-b8ad-802805445bde-20,d302d88c-e67e-4b88-b8ad-802805445bde,20,b09296b0-8544-48c5-8515-730504840db5-20,b09296b0-8544-48c5-8515-730504840db5,20,PART006,450,Each
d302d88c-e67e-4b88-b8ad-802805445bde-30,d302d88c-e67e-4b88-b8ad-802805445bde,30,b09296b0-8544-48c5-8515-730504840db5-30,b09296b0-8544-48c5-8515-730504840db5,30,PART002,350,Each
16731d64-dcc7-416c-b1f7-4695747f343a-10,16731d64-dcc7-416c-b1f7-4695747f343a,10,adf4354a-210f-461e-bf47-fe50f088b269-10,adf4354a-210f-461e-bf47-fe50f088b269,10,PART002,50,Each
16731d64-dcc7-416c-b1f7-4695747f343a-20,16731d64-dcc7-416c-b1f7-4695747f343a,20,adf4354a-210f-461e-bf47-fe50f088b269-20,adf4354a-210f-461e-bf47-fe50f088b269,20,PART003-1,60,Each
16731d64-dcc7-416c-b1f7-4695747f343a-30,16731d64-dcc7-416c-b1f7-4695747f343a,30,adf4354a-210f-461e-bf47-fe50f088b269-30,adf4354a-210f-461e-bf47-fe50f088b269,30,PART001,220,Each
9bcebdfa-e214-4ea3-bca5-c2f0c52fde2f-10,9bcebdfa-e214-4ea3-bca5-c2f0c52fde2f,10,45c0d571-fb69-4e18-92de-a71c6d92dda2-10,45c0d571-fb69-4e18-92de-a71c6d92dda2,10,PART001,55,Each
79e9361f-6bd3-4663-8ff0-0447b18f3231-10,79e9361f-6bd3-4663-8ff0-0447b18f3231,10,45c0d571-fb69-4e18-92de-a71c6d92dda2-10,45c0d571-fb69-4e18-92de-a71c6d92dda2,10,PART001,175,Each
