ID,purchaseOrderId,lineNumber,ProductId,Quantity,unitOfMeasure,Status,Value,valueCurrency
aa1dab3c-af7d-4c4f-9a58-c2e17b7ec2fe-10,aa1dab3c-af7d-4c4f-9a58-c2e17b7ec2fe,10,PART005,60,Each,Active,9000,USD
aa1dab3c-af7d-4c4f-9a58-c2e17b7ec2fe-20,aa1dab3c-af7d-4c4f-9a58-c2e17b7ec2fe,20,PART004,250,Each,Active,43750,USD
aa1dab3c-af7d-4c4f-9a58-c2e17b7ec2fe-30,aa1dab3c-af7d-4c4f-9a58-c2e17b7ec2fe,30,PART003-3,90,Each,Active,18000,USD
478eedf4-dccf-4dc3-a722-219b8f2cd37d-10,478eedf4-dccf-4dc3-a722-219b8f2cd37d,10,PART003-1,480,Each,Active,48000,USD
27cbf9d2-670d-42eb-b3c8-03ca22d59585-10,27cbf9d2-670d-42eb-b3c8-03ca22d59585,10,PART005,360,Each,Active,54000,USD
27cbf9d2-670d-42eb-b3c8-03ca22d59585-20,27cbf9d2-670d-42eb-b3c8-03ca22d59585,20,PART003-1,490,Each,Active,49000,USD
27cbf9d2-670d-42eb-b3c8-03ca22d59585-30,27cbf9d2-670d-42eb-b3c8-03ca22d59585,30,PART001,450,Each,Active,101250,USD
c3e260e3-cb21-4d89-a0ac-a3042c64171f-10,c3e260e3-cb21-4d89-a0ac-a3042c64171f,10,PART004,200,Each,Active,35000,USD
c3e260e3-cb21-4d89-a0ac-a3042c64171f-20,c3e260e3-cb21-4d89-a0ac-a3042c64171f,20,PART002,290,Each,Active,21750,USD
c3e260e3-cb21-4d89-a0ac-a3042c64171f-30,c3e260e3-cb21-4d89-a0ac-a3042c64171f,30,PART006,490,Each,Active,98000,USD
c7aac351-fccb-428e-ab2c-79283f7b358c-10,c7aac351-fccb-428e-ab2c-79283f7b358c,10,PART005,280,Each,Active,42000,USD
8f66771a-a0ff-4f89-8fb5-f0587568658e-10,8f66771a-a0ff-4f89-8fb5-f0587568658e,10,PART002,440,Each,Active,33000,USD
8f66771a-a0ff-4f89-8fb5-f0587568658e-20,8f66771a-a0ff-4f89-8fb5-f0587568658e,20,PART006,360,Each,Active,72000,USD
a0292fde-6bb7-4f83-b855-3b687987a0ba-10,a0292fde-6bb7-4f83-b855-3b687987a0ba,10,PART003-1,290,Each,Active,29000,USD
a0292fde-6bb7-4f83-b855-3b687987a0ba-20,a0292fde-6bb7-4f83-b855-3b687987a0ba,20,PART006,50,Each,Active,10000,USD
a0292fde-6bb7-4f83-b855-3b687987a0ba-30,a0292fde-6bb7-4f83-b855-3b687987a0ba,30,PART003,190,Each,Active,28500,USD
c1b491de-1c4a-46d9-9213-ba9f399c18c0-10,c1b491de-1c4a-46d9-9213-ba9f399c18c0,10,PART001,340,Each,Active,76500,USD
fde9c7e4-afcd-4e02-9834-e2d65a1927f9-10,fde9c7e4-afcd-4e02-9834-e2d65a1927f9,10,PART006,80,Each,Active,16000,USD
fde9c7e4-afcd-4e02-9834-e2d65a1927f9-20,fde9c7e4-afcd-4e02-9834-e2d65a1927f9,20,PART005,420,Each,Active,63000,USD
fde9c7e4-afcd-4e02-9834-e2d65a1927f9-30,fde9c7e4-afcd-4e02-9834-e2d65a1927f9,30,PART002,250,Each,Active,18750,USD
f24f43ba-f5c9-4d45-a768-463623b62def-10,f24f43ba-f5c9-4d45-a768-463623b62def,10,PART002,470,Each,Active,35250,USD
70620809-8074-4690-a749-ca2c3b2af8ea-10,70620809-8074-4690-a749-ca2c3b2af8ea,10,PART003-1,70,Each,Active,7000,USD
70620809-8074-4690-a749-ca2c3b2af8ea-20,70620809-8074-4690-a749-ca2c3b2af8ea,20,PART005,340,Each,Active,51000,USD
70620809-8074-4690-a749-ca2c3b2af8ea-30,70620809-8074-4690-a749-ca2c3b2af8ea,30,PART003,290,Each,Active,43500,USD
0cc4480b-0bd6-4e24-8292-b8ca746b9756-10,0cc4480b-0bd6-4e24-8292-b8ca746b9756,10,PART005,350,Each,Active,52500,USD
0cc4480b-0bd6-4e24-8292-b8ca746b9756-20,0cc4480b-0bd6-4e24-8292-b8ca746b9756,20,PART003-1,460,Each,Active,46000,USD
645c9166-0ac5-4784-b801-f9df144b099c-10,645c9166-0ac5-4784-b801-f9df144b099c,10,PART006,470,Each,Active,94000,USD
645c9166-0ac5-4784-b801-f9df144b099c-20,645c9166-0ac5-4784-b801-f9df144b099c,20,PART003-3,230,Each,Active,46000,USD
bf5c41c2-de7a-451a-a1b2-2f2475b54a65-10,bf5c41c2-de7a-451a-a1b2-2f2475b54a65,10,PART004,330,Each,Active,57750,USD
bf5c41c2-de7a-451a-a1b2-2f2475b54a65-20,bf5c41c2-de7a-451a-a1b2-2f2475b54a65,20,PART003-3,80,Each,Active,16000,USD
