ID,salesOrderId,lineNumber,ProductId,Quantity,unitOfMeasure,Status,Value,valueCurrency
dd0f6a82-09d7-4fd1-8d18-f4a27d43d0e4-20,dd0f6a82-09d7-4fd1-8d18-f4a27d43d0e4,20,PROD003,290,Each,Active,348000,USD
dd0f6a82-09d7-4fd1-8d18-f4a27d43d0e4-30,dd0f6a82-09d7-4fd1-8d18-f4a27d43d0e4,30,PROD006,440,Each,Active,352000,USD
f21e0377-dc59-412b-8be1-47cd64ad9dc2-10,f21e0377-dc59-412b-8be1-47cd64ad9dc2,10,PROD005,200,Each,Active,120000,USD
d40591dd-e78f-45aa-8b73-1b1ed60f7d64-10,d40591dd-e78f-45aa-8b73-1b1ed60f7d64,10,PROD005,450,Each,Active,270000,USD
d40591dd-e78f-45aa-8b73-1b1ed60f7d64-20,d40591dd-e78f-45aa-8b73-1b1ed60f7d64,20,PROD003,120,Each,Active,144000,USD
d40591dd-e78f-45aa-8b73-1b1ed60f7d64-30,d40591dd-e78f-45aa-8b73-1b1ed60f7d64,30,PROD008,260,Each,Active,104000,USD
259bf8fa-8d24-41c0-be1c-4f357a28fade-10,259bf8fa-8d24-41c0-be1c-4f357a28fade,10,PROD002,410,Each,Active,410000,USD
259bf8fa-8d24-41c0-be1c-4f357a28fade-20,259bf8fa-8d24-41c0-be1c-4f357a28fade,20,PROD006,430,Each,Active,344000,USD
34909f96-85ad-4bb7-8152-fd77aadb6fdd-10,34909f96-85ad-4bb7-8152-fd77aadb6fdd,10,PROD005,500,Each,Active,300000,USD
ac2c76f2-0de8-49a0-a102-2d7515087a9b-10,ac2c76f2-0de8-49a0-a102-2d7515087a9b,10,PROD006,210,Each,Active,168000,USD
ac2c76f2-0de8-49a0-a102-2d7515087a9b-20,ac2c76f2-0de8-49a0-a102-2d7515087a9b,20,PROD004,410,Each,Active,164000,USD
902ab0e4-5e37-4566-997d-c2a16cfec99e-10,902ab0e4-5e37-4566-997d-c2a16cfec99e,10,PROD001,90,Each,Active,81000,USD
902ab0e4-5e37-4566-997d-c2a16cfec99e-20,902ab0e4-5e37-4566-997d-c2a16cfec99e,20,PROD007,480,Each,Active,144000,USD
cd36545d-35f8-48fe-8e4c-15f6f9100aeb-10,cd36545d-35f8-48fe-8e4c-15f6f9100aeb,10,PROD009,320,Each,Active,160000,USD
cd36545d-35f8-48fe-8e4c-15f6f9100aeb-20,cd36545d-35f8-48fe-8e4c-15f6f9100aeb,20,PROD004,330,Each,Active,132000,USD
cd36545d-35f8-48fe-8e4c-15f6f9100aeb-30,cd36545d-35f8-48fe-8e4c-15f6f9100aeb,30,PROD007,130,Each,Active,39000,USD
60801806-c55a-4fbb-a02a-f5f865fabaea-10,60801806-c55a-4fbb-a02a-f5f865fabaea,10,PROD004,330,Each,Active,132000,USD
60801806-c55a-4fbb-a02a-f5f865fabaea-20,60801806-c55a-4fbb-a02a-f5f865fabaea,20,PROD009,90,Each,Active,45000,USD
65e22bb1-13e6-4b16-b51f-c3bd509d487d-10,65e22bb1-13e6-4b16-b51f-c3bd509d487d,10,PROD005,250,Each,Active,150000,USD
db7d4061-f171-4e4c-af8f-45f6e4529de1-10,db7d4061-f171-4e4c-af8f-45f6e4529de1,10,PROD009,230,Each,Active,115000,USD
f1b016ff-fcc4-429a-9e85-40a9d82f82c9-10,f1b016ff-fcc4-429a-9e85-40a9d82f82c9,10,PROD009,260,Each,Active,130000,USD
7a03214c-7699-4801-a646-b260c7240c49-10,7a03214c-7699-4801-a646-b260c7240c49,10,PROD009,350,Each,Active,175000,USD
7a03214c-7699-4801-a646-b260c7240c49-20,7a03214c-7699-4801-a646-b260c7240c49,20,PROD004,280,Each,Active,112000,USD
7a03214c-7699-4801-a646-b260c7240c49-30,7a03214c-7699-4801-a646-b260c7240c49,30,PROD003,350,Each,Active,420000,USD
0f5f630b-b22e-462d-b85e-ea328285b80a-10,0f5f630b-b22e-462d-b85e-ea328285b80a,10,PROD004,290,Each,Active,116000,USD
0f5f630b-b22e-462d-b85e-ea328285b80a-20,0f5f630b-b22e-462d-b85e-ea328285b80a,20,PROD009,360,Each,Active,180000,USD
0f5f630b-b22e-462d-b85e-ea328285b80a-30,0f5f630b-b22e-462d-b85e-ea328285b80a,30,PROD006,90,Each,Active,72000,USD
3558f751-37a3-41f0-9bba-7487799793dc-10,3558f751-37a3-41f0-9bba-7487799793dc,10,PROD004,160,Each,Active,64000,USD
3558f751-37a3-41f0-9bba-7487799793dc-20,3558f751-37a3-41f0-9bba-7487799793dc,20,PROD007,140,Each,Active,42000,USD
3558f751-37a3-41f0-9bba-7487799793dc-30,3558f751-37a3-41f0-9bba-7487799793dc,30,PROD002,320,Each,Active,320000,USD
786d65a7-713e-4908-bb90-db78fe372bbe-10,786d65a7-713e-4908-bb90-db78fe372bbe,10,PROD006,300,Each,Active,240000,USD
786d65a7-713e-4908-bb90-db78fe372bbe-20,786d65a7-713e-4908-bb90-db78fe372bbe,20,PROD009,240,Each,Active,120000,USD
073ed4ac-4ada-4771-a0bd-42a5439ce5fc-10,073ed4ac-4ada-4771-a0bd-42a5439ce5fc,10,PROD007,500,Each,Active,150000,USD
7de0c647-383a-4085-aee5-2e4369619a05-10,7de0c647-383a-4085-aee5-2e4369619a05,10,PROD002,470,Each,Active,470000,USD
7de0c647-383a-4085-aee5-2e4369619a05-20,7de0c647-383a-4085-aee5-2e4369619a05,20,PROD005,310,Each,Active,186000,USD
090c1d0e-f15e-4128-8046-b26cb6122379-10,090c1d0e-f15e-4128-8046-b26cb6122379,10,PROD001,310,Each,Active,279000,USD
090c1d0e-f15e-4128-8046-b26cb6122379-20,090c1d0e-f15e-4128-8046-b26cb6122379,20,PROD006,120,Each,Active,96000,USD
9dc65f17-3aa2-416c-991e-aa6bf81a7398-10,9dc65f17-3aa2-416c-991e-aa6bf81a7398,10,PROD002,150,Each,Active,150000,USD
9dc65f17-3aa2-416c-991e-aa6bf81a7398-20,9dc65f17-3aa2-416c-991e-aa6bf81a7398,20,PROD006,410,Each,Active,328000,USD
83ce1682-4126-4f61-a768-fa28654d1c20-10,83ce1682-4126-4f61-a768-fa28654d1c20,10,PROD001,370,Each,Active,333000,USD
8931c192-83ff-49f8-8fe6-eaec08f2004f-10,8931c192-83ff-49f8-8fe6-eaec08f2004f,10,PROD001,310,Each,Active,279000,USD
646104ba-0bab-44d0-a2fc-d9fc919d81e4-10,646104ba-0bab-44d0-a2fc-d9fc919d81e4,10,PROD003,230,Each,Active,276000,USD
646104ba-0bab-44d0-a2fc-d9fc919d81e4-20,646104ba-0bab-44d0-a2fc-d9fc919d81e4,20,PROD006,240,Each,Active,192000,USD
f18932b0-63ae-4c46-b22f-3a9f3465203e-10,f18932b0-63ae-4c46-b22f-3a9f3465203e,10,PROD006,460,Each,Active,368000,USD
f18932b0-63ae-4c46-b22f-3a9f3465203e-20,f18932b0-63ae-4c46-b22f-3a9f3465203e,20,PROD003,180,Each,Active,216000,USD
f18932b0-63ae-4c46-b22f-3a9f3465203e-30,f18932b0-63ae-4c46-b22f-3a9f3465203e,30,PROD009,250,Each,Active,125000,USD
22dada06-aa90-4229-9518-d157b3c9ce83-10,22dada06-aa90-4229-9518-d157b3c9ce83,10,PROD009,240,Each,Active,120000,USD
770650dd-6f58-4ecc-be13-46a805987801-10,770650dd-6f58-4ecc-be13-46a805987801,10,PROD008,180,Each,Active,72000,USD
770650dd-6f58-4ecc-be13-46a805987801-20,770650dd-6f58-4ecc-be13-46a805987801,20,PROD007,70,Each,Active,21000,USD
770650dd-6f58-4ecc-be13-46a805987801-30,770650dd-6f58-4ecc-be13-46a805987801,30,PROD004,270,Each,Active,108000,USD
001dcdf7-de8c-4970-b1f4-3daef38706e8-10,001dcdf7-de8c-4970-b1f4-3daef38706e8,10,PROD005,80,Each,Active,48000,USD
5678becb-ec73-40f8-9b18-9fb6a30d741f-10,5678becb-ec73-40f8-9b18-9fb6a30d741f,10,PROD002,240,Each,Active,240000,USD
5678becb-ec73-40f8-9b18-9fb6a30d741f-20,5678becb-ec73-40f8-9b18-9fb6a30d741f,20,PROD005,390,Each,Active,234000,USD
6ff6c879-033c-4834-8471-42cf34ea7614-10,6ff6c879-033c-4834-8471-42cf34ea7614,10,PROD003,50,Each,Active,60000,USD
8020aba4-c177-425f-9590-368be1c619c8-10,8020aba4-c177-425f-9590-368be1c619c8,10,PROD005,250,Each,Active,150000,USD
8020aba4-c177-425f-9590-368be1c619c8-20,8020aba4-c177-425f-9590-368be1c619c8,20,PROD008,240,Each,Active,96000,USD
cc9dba09-66e8-4aad-834b-6143e3049779-10,cc9dba09-66e8-4aad-834b-6143e3049779,10,PROD001,230,Each,Active,207000,USD
cc9dba09-66e8-4aad-834b-6143e3049779-20,cc9dba09-66e8-4aad-834b-6143e3049779,20,PROD008,150,Each,Active,60000,USD
9f41642c-dc9c-49f4-a6f5-60d4eda80dc7-10,9f41642c-dc9c-49f4-a6f5-60d4eda80dc7,10,PROD001,190,Each,Active,171000,USD
9f41642c-dc9c-49f4-a6f5-60d4eda80dc7-20,9f41642c-dc9c-49f4-a6f5-60d4eda80dc7,20,PROD003,360,Each,Active,432000,USD
9f41642c-dc9c-49f4-a6f5-60d4eda80dc7-30,9f41642c-dc9c-49f4-a6f5-60d4eda80dc7,30,PROD004,200,Each,Active,80000,USD
813cab81-4f36-42ec-8ae6-bdb0d8f0a217-10,813cab81-4f36-42ec-8ae6-bdb0d8f0a217,10,PROD009,370,Each,Active,185000,USD
813cab81-4f36-42ec-8ae6-bdb0d8f0a217-20,813cab81-4f36-42ec-8ae6-bdb0d8f0a217,20,PROD004,350,Each,Active,140000,USD
a7c7bad0-b0d7-4d14-b1e7-2229bbb3e13e-10,a7c7bad0-b0d7-4d14-b1e7-2229bbb3e13e,10,PROD009,230,Each,Active,115000,USD
a7c7bad0-b0d7-4d14-b1e7-2229bbb3e13e-20,a7c7bad0-b0d7-4d14-b1e7-2229bbb3e13e,20,PROD005,130,Each,Active,78000,USD
d5513850-7dd1-4782-8c4f-fb4b643a00ff-10,d5513850-7dd1-4782-8c4f-fb4b643a00ff,10,PROD007,190,Each,Active,57000,USD
90c095f7-570e-44e2-a1d7-e69f1d2fc576-10,90c095f7-570e-44e2-a1d7-e69f1d2fc576,10,PROD009,470,Each,Active,235000,USD
90c095f7-570e-44e2-a1d7-e69f1d2fc576-20,90c095f7-570e-44e2-a1d7-e69f1d2fc576,20,PROD008,290,Each,Active,116000,USD
e916a292-3924-4ad4-9d92-07d7962727eb-10,e916a292-3924-4ad4-9d92-07d7962727eb,10,PROD004,260,Each,Active,104000,USD
e916a292-3924-4ad4-9d92-07d7962727eb-20,e916a292-3924-4ad4-9d92-07d7962727eb,20,PROD005,80,Each,Active,48000,USD
447e5d3f-1ed3-4573-922d-edd0a3c1df7b-10,447e5d3f-1ed3-4573-922d-edd0a3c1df7b,10,PROD006,170,Each,Active,136000,USD
447e5d3f-1ed3-4573-922d-edd0a3c1df7b-20,447e5d3f-1ed3-4573-922d-edd0a3c1df7b,20,PROD003,420,Each,Active,504000,USD
447e5d3f-1ed3-4573-922d-edd0a3c1df7b-30,447e5d3f-1ed3-4573-922d-edd0a3c1df7b,30,PROD001,70,Each,Active,63000,USD
4e453c4f-86fc-4394-9465-c4f788773ed5-10,4e453c4f-86fc-4394-9465-c4f788773ed5,10,PROD007,270,Each,Active,81000,USD
0a8fce0e-2408-43a8-8b53-0ae10808bac5-10,0a8fce0e-2408-43a8-8b53-0ae10808bac5,10,PROD003,80,Each,Active,96000,USD
daec81bf-55df-4e90-898e-3e3cf2f871ec-10,daec81bf-55df-4e90-898e-3e3cf2f871ec,10,PROD003,110,Each,Active,132000,USD
daec81bf-55df-4e90-898e-3e3cf2f871ec-20,daec81bf-55df-4e90-898e-3e3cf2f871ec,20,PROD008,110,Each,Active,44000,USD
0dbb3214-6c18-4fdb-9d2f-2967a463fca9-10,0dbb3214-6c18-4fdb-9d2f-2967a463fca9,10,PROD004,160,Each,Active,64000,USD
0283a70f-d295-4b07-a463-4bfffec435a5-10,0283a70f-d295-4b07-a463-4bfffec435a5,10,PROD008,370,Each,Active,148000,USD
ed29c516-4650-40fc-b084-dbd472f36de0-10,ed29c516-4650-40fc-b084-dbd472f36de0,10,PROD003,320,Each,Active,384000,USD
ed29c516-4650-40fc-b084-dbd472f36de0-20,ed29c516-4650-40fc-b084-dbd472f36de0,20,PROD005,50,Each,Active,30000,USD
ed29c516-4650-40fc-b084-dbd472f36de0-30,ed29c516-4650-40fc-b084-dbd472f36de0,30,PROD004,50,Each,Active,20000,USD
30f5f123-44cd-43fb-94f4-3e8bc24d3552-10,30f5f123-44cd-43fb-94f4-3e8bc24d3552,10,PROD001,130,Each,Active,117000,USD
1011e557-7e4f-418d-8b3c-4eae1214edd0-10,1011e557-7e4f-418d-8b3c-4eae1214edd0,10,PROD005,60,Each,Active,36000,USD
1011e557-7e4f-418d-8b3c-4eae1214edd0-20,1011e557-7e4f-418d-8b3c-4eae1214edd0,20,PROD001,390,Each,Active,351000,USD
1011e557-7e4f-418d-8b3c-4eae1214edd0-30,1011e557-7e4f-418d-8b3c-4eae1214edd0,30,PROD002,460,Each,Active,460000,USD
4f8688c9-4f96-4e16-9001-efc80430b383-10,4f8688c9-4f96-4e16-9001-efc80430b383,10,PROD008,230,Each,Active,92000,USD
4f8688c9-4f96-4e16-9001-efc80430b383-20,4f8688c9-4f96-4e16-9001-efc80430b383,20,PROD006,340,Each,Active,272000,USD
4f8688c9-4f96-4e16-9001-efc80430b383-30,4f8688c9-4f96-4e16-9001-efc80430b383,30,PROD003,90,Each,Active,108000,USD
47e66101-8a7d-4183-8446-93be2125a98a-10,47e66101-8a7d-4183-8446-93be2125a98a,10,PROD007,500,Each,Active,150000,USD
47e66101-8a7d-4183-8446-93be2125a98a-20,47e66101-8a7d-4183-8446-93be2125a98a,20,PROD008,280,Each,Active,112000,USD
290468dc-e77f-4f74-a864-650ee8c7c60b-10,290468dc-e77f-4f74-a864-650ee8c7c60b,10,PROD001,110,Each,Active,99000,USD
290468dc-e77f-4f74-a864-650ee8c7c60b-20,290468dc-e77f-4f74-a864-650ee8c7c60b,20,PROD008,70,Each,Active,28000,USD
e8158768-7cdd-42c4-8349-ac85886eea0d-10,e8158768-7cdd-42c4-8349-ac85886eea0d,10,PROD005,280,Each,Active,168000,USD
e8158768-7cdd-42c4-8349-ac85886eea0d-20,e8158768-7cdd-42c4-8349-ac85886eea0d,20,PROD006,140,Each,Active,112000,USD
3167a216-9fc7-476a-a78b-bcdb24ad292a-10,3167a216-9fc7-476a-a78b-bcdb24ad292a,10,PROD006,120,Each,Active,96000,USD
3167a216-9fc7-476a-a78b-bcdb24ad292a-20,3167a216-9fc7-476a-a78b-bcdb24ad292a,20,PROD001,260,Each,Active,234000,USD
3167a216-9fc7-476a-a78b-bcdb24ad292a-30,3167a216-9fc7-476a-a78b-bcdb24ad292a,30,PROD007,400,Each,Active,120000,USD
f686498d-8230-4f37-abf3-539d4b33413e-10,f686498d-8230-4f37-abf3-539d4b33413e,10,PROD007,410,Each,Active,123000,USD
f686498d-8230-4f37-abf3-539d4b33413e-20,f686498d-8230-4f37-abf3-539d4b33413e,20,PROD006,260,Each,Active,208000,USD
f686498d-8230-4f37-abf3-539d4b33413e-30,f686498d-8230-4f37-abf3-539d4b33413e,30,PROD009,80,Each,Active,40000,USD
7b12699a-e27e-481b-a910-9044bded9143-10,7b12699a-e27e-481b-a910-9044bded9143,10,PROD004,360,Each,Active,144000,USD
7b12699a-e27e-481b-a910-9044bded9143-20,7b12699a-e27e-481b-a910-9044bded9143,20,PROD003,380,Each,Active,456000,USD
879f792b-dc24-44b0-bc4e-7cb129ed9e32-10,879f792b-dc24-44b0-bc4e-7cb129ed9e32,10,PROD001,330,Each,Active,297000,USD
879f792b-dc24-44b0-bc4e-7cb129ed9e32-20,879f792b-dc24-44b0-bc4e-7cb129ed9e32,20,PROD008,380,Each,Active,152000,USD
b66b4ec9-825a-433c-9018-54558eddb5a8-10,b66b4ec9-825a-433c-9018-54558eddb5a8,10,PROD004,500,Each,Active,200000,USD
b66b4ec9-825a-433c-9018-54558eddb5a8-20,b66b4ec9-825a-433c-9018-54558eddb5a8,20,PROD009,50,Each,Active,25000,USD
b66b4ec9-825a-433c-9018-54558eddb5a8-30,b66b4ec9-825a-433c-9018-54558eddb5a8,30,PROD003,220,Each,Active,264000,USD
3bbc8844-0cc4-4e10-bc1b-7fc39762097f-10,3bbc8844-0cc4-4e10-bc1b-7fc39762097f,10,PROD009,320,Each,Active,160000,USD
3bbc8844-0cc4-4e10-bc1b-7fc39762097f-20,3bbc8844-0cc4-4e10-bc1b-7fc39762097f,20,PROD007,460,Each,Active,138000,USD
15e976b8-fbb0-43a7-93d4-fdc066fabb86-10,15e976b8-fbb0-43a7-93d4-fdc066fabb86,10,PROD005,300,Each,Active,180000,USD
15e976b8-fbb0-43a7-93d4-fdc066fabb86-20,15e976b8-fbb0-43a7-93d4-fdc066fabb86,20,PROD001,50,Each,Active,45000,USD
efdd8276-7fc0-4a4e-bcb3-799ce2a691be-10,efdd8276-7fc0-4a4e-bcb3-799ce2a691be,10,PROD007,430,Each,Active,129000,USD
efdd8276-7fc0-4a4e-bcb3-799ce2a691be-20,efdd8276-7fc0-4a4e-bcb3-799ce2a691be,20,PROD001,130,Each,Active,117000,USD
7602c5ca-6f56-4b90-803e-216cb3d11500-10,7602c5ca-6f56-4b90-803e-216cb3d11500,10,PROD006,50,Each,Active,40000,USD
7602c5ca-6f56-4b90-803e-216cb3d11500-20,7602c5ca-6f56-4b90-803e-216cb3d11500,20,PROD008,490,Each,Active,196000,USD
7602c5ca-6f56-4b90-803e-216cb3d11500-30,7602c5ca-6f56-4b90-803e-216cb3d11500,30,PROD003,50,Each,Active,60000,USD
d1e5e513-fcf9-4fd0-ab58-5b5eff53c5c7-10,d1e5e513-fcf9-4fd0-ab58-5b5eff53c5c7,10,PROD001,390,Each,Active,351000,USD
d1e5e513-fcf9-4fd0-ab58-5b5eff53c5c7-20,d1e5e513-fcf9-4fd0-ab58-5b5eff53c5c7,20,PROD007,110,Each,Active,33000,USD
c745c727-d3d0-42ec-8f42-da8143acc274-10,c745c727-d3d0-42ec-8f42-da8143acc274,10,PROD001,200,Each,Active,180000,USD
c745c727-d3d0-42ec-8f42-da8143acc274-20,c745c727-d3d0-42ec-8f42-da8143acc274,20,PROD004,260,Each,Active,104000,USD
bef2edd1-844f-48e5-a4c8-bcae40a16d63-10,bef2edd1-844f-48e5-a4c8-bcae40a16d63,10,PROD006,200,Each,Active,160000,USD
bef2edd1-844f-48e5-a4c8-bcae40a16d63-20,bef2edd1-844f-48e5-a4c8-bcae40a16d63,20,PROD002,300,Each,Active,300000,USD
bef2edd1-844f-48e5-a4c8-bcae40a16d63-30,bef2edd1-844f-48e5-a4c8-bcae40a16d63,30,PROD003,490,Each,Active,588000,USD
d73c9cb3-1c94-41f3-a699-07c4cf58e92b-10,d73c9cb3-1c94-41f3-a699-07c4cf58e92b,10,PROD004,190,Each,Active,76000,USD
d73c9cb3-1c94-41f3-a699-07c4cf58e92b-20,d73c9cb3-1c94-41f3-a699-07c4cf58e92b,20,PROD002,360,Each,Active,360000,USD
d73c9cb3-1c94-41f3-a699-07c4cf58e92b-30,d73c9cb3-1c94-41f3-a699-07c4cf58e92b,30,PROD003,300,Each,Active,360000,USD
d076146c-431c-45fc-81e3-fa3ee0df01a8-10,d076146c-431c-45fc-81e3-fa3ee0df01a8,10,PROD001,230,Each,Active,207000,USD
d076146c-431c-45fc-81e3-fa3ee0df01a8-20,d076146c-431c-45fc-81e3-fa3ee0df01a8,20,PROD008,50,Each,Active,20000,USD
d076146c-431c-45fc-81e3-fa3ee0df01a8-30,d076146c-431c-45fc-81e3-fa3ee0df01a8,30,PROD002,260,Each,Active,260000,USD
1a251bae-01bc-4d43-8879-a7656aa1428c-10,1a251bae-01bc-4d43-8879-a7656aa1428c,10,PROD005,360,Each,Active,216000,USD
1cd15433-e9d7-4b4c-88ef-f37043b4fa64-10,1cd15433-e9d7-4b4c-88ef-f37043b4fa64,10,PROD001,500,Each,Active,450000,USD
1cd15433-e9d7-4b4c-88ef-f37043b4fa64-20,1cd15433-e9d7-4b4c-88ef-f37043b4fa64,20,PROD005,360,Each,Active,216000,USD
0c01bdbb-3bb3-4085-b74c-6a0c2fb39167-10,0c01bdbb-3bb3-4085-b74c-6a0c2fb39167,10,PROD002,430,Each,Active,430000,USD
0c01bdbb-3bb3-4085-b74c-6a0c2fb39167-20,0c01bdbb-3bb3-4085-b74c-6a0c2fb39167,20,PROD007,340,Each,Active,102000,USD
17a8295b-a646-4c32-bee6-4bef069ee39c-10,17a8295b-a646-4c32-bee6-4bef069ee39c,10,PROD003,480,Each,Active,576000,USD
17a8295b-a646-4c32-bee6-4bef069ee39c-20,17a8295b-a646-4c32-bee6-4bef069ee39c,20,PROD009,90,Each,Active,45000,USD
17a8295b-a646-4c32-bee6-4bef069ee39c-30,17a8295b-a646-4c32-bee6-4bef069ee39c,30,PROD005,420,Each,Active,252000,USD
b8d920a2-eccc-4385-83fa-0282cdfe8d2a-10,b8d920a2-eccc-4385-83fa-0282cdfe8d2a,10,PROD009,190,Each,Active,95000,USD
b8d920a2-eccc-4385-83fa-0282cdfe8d2a-20,b8d920a2-eccc-4385-83fa-0282cdfe8d2a,20,PROD002,260,Each,Active,260000,USD
f5021ca9-1401-4e81-9231-9c5bceb2de2f-10,f5021ca9-1401-4e81-9231-9c5bceb2de2f,10,PROD007,60,Each,Active,18000,USD
f5021ca9-1401-4e81-9231-9c5bceb2de2f-20,f5021ca9-1401-4e81-9231-9c5bceb2de2f,20,PROD004,280,Each,Active,112000,USD
7c58b425-72d1-4650-a2d3-b9b0dddbd62b-10,7c58b425-72d1-4650-a2d3-b9b0dddbd62b,10,PROD002,70,Each,Active,70000,USD
7c58b425-72d1-4650-a2d3-b9b0dddbd62b-20,7c58b425-72d1-4650-a2d3-b9b0dddbd62b,20,PROD008,270,Each,Active,108000,USD
b01e9c4b-f866-4f87-abef-afeb683e098b-10,b01e9c4b-f866-4f87-abef-afeb683e098b,10,PROD008,110,Each,Active,44000,USD
b01e9c4b-f866-4f87-abef-afeb683e098b-20,b01e9c4b-f866-4f87-abef-afeb683e098b,20,PROD003,290,Each,Active,348000,USD
b01e9c4b-f866-4f87-abef-afeb683e098b-30,b01e9c4b-f866-4f87-abef-afeb683e098b,30,PROD005,470,Each,Active,282000,USD
f0b2e96f-2556-4c43-bb8d-6c84ccd8130d-10,f0b2e96f-2556-4c43-bb8d-6c84ccd8130d,10,PROD002,260,Each,Active,260000,USD
f0b2e96f-2556-4c43-bb8d-6c84ccd8130d-20,f0b2e96f-2556-4c43-bb8d-6c84ccd8130d,20,PROD004,350,Each,Active,140000,USD
ce87857e-24cd-4085-99cd-12d126261dd9-10,ce87857e-24cd-4085-99cd-12d126261dd9,10,PROD002,310,Each,Active,310000,USD
2a17ee5b-d0b1-410f-8228-d9e9cc73d8a4-10,2a17ee5b-d0b1-410f-8228-d9e9cc73d8a4,10,PROD001,450,Each,Active,405000,USD
2a17ee5b-d0b1-410f-8228-d9e9cc73d8a4-20,2a17ee5b-d0b1-410f-8228-d9e9cc73d8a4,20,PROD009,340,Each,Active,170000,USD
2a17ee5b-d0b1-410f-8228-d9e9cc73d8a4-30,2a17ee5b-d0b1-410f-8228-d9e9cc73d8a4,30,PROD004,410,Each,Active,164000,USD
3ce2aa04-c59f-4109-bd0c-fea885a92f86-10,3ce2aa04-c59f-4109-bd0c-fea885a92f86,10,PROD008,410,Each,Active,164000,USD
909627f6-2720-40cb-9abb-aa972415bd3d-10,909627f6-2720-40cb-9abb-aa972415bd3d,10,PROD006,240,Each,Active,192000,USD
909627f6-2720-40cb-9abb-aa972415bd3d-20,909627f6-2720-40cb-9abb-aa972415bd3d,20,PROD009,270,Each,Active,135000,USD
909627f6-2720-40cb-9abb-aa972415bd3d-30,909627f6-2720-40cb-9abb-aa972415bd3d,30,PROD002,460,Each,Active,460000,USD
6c62a305-95cf-46c4-8ddf-a3cb70efd4f4-10,6c62a305-95cf-46c4-8ddf-a3cb70efd4f4,10,PROD005,170,Each,Active,102000,USD
6c62a305-95cf-46c4-8ddf-a3cb70efd4f4-20,6c62a305-95cf-46c4-8ddf-a3cb70efd4f4,20,PROD007,60,Each,Active,18000,USD
6c62a305-95cf-46c4-8ddf-a3cb70efd4f4-30,6c62a305-95cf-46c4-8ddf-a3cb70efd4f4,30,PROD003,420,Each,Active,504000,USD
e7ad04bc-4435-4697-a800-c686c53b21c5-10,e7ad04bc-4435-4697-a800-c686c53b21c5,10,PROD008,230,Each,Active,92000,USD
49998da2-f6e3-4183-b35a-d992a1779249-10,49998da2-f6e3-4183-b35a-d992a1779249,10,PROD009,250,Each,Active,125000,USD
49998da2-f6e3-4183-b35a-d992a1779249-20,49998da2-f6e3-4183-b35a-d992a1779249,20,PROD007,250,Each,Active,75000,USD
f30ce359-3435-48d1-ad50-2db35f91d29a-10,f30ce359-3435-48d1-ad50-2db35f91d29a,10,PROD009,170,Each,Active,85000,USD
